Month,Day,Holiday,Highest_temp,Lowest_temp,Rainfall,Sejong,Gwahghwamun,Sales
10,5,0,27.5,16.9,13.3,1,0,B
10,1,1,25.6,19.2,3.6,0,0,A
10,2,0,26.5,21.7,0,0,0,A
10,3,0,21.7,17.9,6.4,0,0,B
10,4,0,21.9,17.9,4.6,0,0,B
10,5,0,20,17.5,3.5,0,0,B
10,1,1,17.8,12.6,0.3,0,0,A
10,2,0,21.3,15.8,0,1,0,B
10,3,0,25.2,14.9,0,1,0,C
10,4,0,23.9,17.4,0,0,0,B
10,5,0,21.4,17,0,1,0,B
10,1,0,16.1,2.8,5.6,0,0,B
10,2,0,15,7.1,4.4,1,0,B
10,3,0,15.8,4.6,0,0,0,B
10,4,0,16.2,4.9,0,0,0,B
10,5,0,17.2,5.2,0,0,0,B
10,1,0,17.6,6.3,0,0,0,B
10,2,0,19,7.7,0,0,0,C
10,3,0,18.1,9.8,0,0,0,C
10,4,0,20,7.1,0,0,0,C
10,5,0,20.6,10.5,0,0,0,B
11,1,0,16.9,10.3,0,1,0,B
11,2,0,16.9,7.9,0,1,0,B
11,3,0,17.1,7.6,0,1,0,B
11,4,0,16.3,8.4,0,1,0,C
11,5,0,20.2,7.8,0,1,0,B
11,1,0,15.5,4.5,25.7,0,0,C
11,2,0,6.5,3,2,1,0,D
11,3,0,7.7,0.7,0.3,0,0,C
11,4,0,9.7,2.1,0,0,0,D
11,5,0,8.6,1.3,0,1,0,D
11,1,0,15.7,5.8,0,0,0,C
11,2,0,13.6,4.4,0,0,0,C
11,3,0,12.5,2.7,0,1,0,C
11,4,0,16.2,7.7,0,1,0,D
11,5,0,16.7,10.2,0,1,0,D
11,1,0,7.5,-0.6,1.3,0,0,D
11,2,0,2.3,-3.7,0,1,0,D
11,3,0,9.1,-2.6,0,1,0,C
11,4,0,9.9,2.6,0,1,0,D
11,5,0,7.2,-0.5,0,1,0,D
11,1,0,13.7,2.5,0,0,0,C
11,2,0,8.9,0.7,27.2,1,0,D
12,3,0,1.5,-3,0,1,0,D
